Timestamp,Plate Text,Confidence,Coordinates
2025-05-16 22:12:50,CA5H 1TEM,0.30253297090530396,"[406, 302, 535, 477]"
2025-05-16 22:13:07,79-18 12-8435,0.4717576801776886,"[426, 184, 531, 265]"
2025-05-16 22:13:16,79-18 A2849,0.391093909740448,"[415, 174, 509, 247]"
2025-05-16 22:14:36,19.78,0.39831915497779846,"[364, 193, 451, 258]"
2025-05-16 22:14:39,7878,0.3388679027557373,"[377, 186, 465, 252]"
2025-05-16 22:14:51,79-T81 2.84,0.30263030529022217,"[376, 182, 461, 249]"
2025-05-16 22:15:00,29-18 12-8437,0.8160719871520996,"[352, 161, 437, 227]"
2025-05-16 22:15:21,129- 12.84,0.4520735442638397,"[588, 108, 639, 166]"
2025-05-16 22:15:32,179-18 12-8437,0.5719537138938904,"[139, 175, 226, 243]"
2025-05-16 22:15:39,7918 17-9.00,0.5881090760231018,"[198, 184, 284, 250]"
2025-05-16 22:15:58,51F-970.22,0.40313178300857544,"[353, 160, 504, 195]"
2025-05-16 22:16:06,51F-970.22,0.2761799991130829,"[250, 272, 389, 310]"
2025-05-16 22:16:13,5TF-970.22,0.48235490918159485,"[258, 258, 397, 293]"
2025-05-16 22:16:18,51F-970.22,0.7284254431724548,"[272, 254, 409, 291]"
2025-05-16 22:16:35,51F-970.22,0.499991238117218,"[268, 289, 412, 326]"
2025-05-16 22:16:42,51F-970.22,0.5400270819664001,"[270, 289, 412, 324]"
2025-05-16 22:16:47,51F-970.22,0.655338704586029,"[279, 288, 419, 323]"
2025-05-16 22:16:52,51F-970.22,0.41771042346954346,"[281, 288, 420, 324]"
2025-05-16 22:18:51,51F-970.22,0.6984482407569885,"[193, 350, 331, 383]"
2025-05-16 22:19:51,151F-970.22,0.3053078055381775,"[308, 316, 437, 346]"
2025-05-16 22:20:20,51-F970.22,0.7194883227348328,"[360, 305, 504, 345]"
2025-05-16 22:20:33,51-F970.22,0.38590243458747864,"[373, 292, 502, 330]"
2025-05-16 22:20:44,51-F970.22,0.45932668447494507,"[330, 320, 455, 364]"
2025-05-16 22:21:03,51-F970.22,0.8730562925338745,"[217, 381, 337, 443]"
2025-05-16 22:21:15,51F-970.22,0.7753105759620667,"[309, 300, 440, 343]"
2025-05-16 22:21:28,51F-970.22,0.6260351538658142,"[335, 327, 461, 362]"
2025-05-16 22:22:44,51F-970.22,0.6093843579292297,"[313, 328, 411, 362]"
2025-05-16 22:23:01,51F-970.22,0.5924437642097473,"[259, 317, 359, 355]"
2025-05-16 22:23:01,517-970-22,0.5098865628242493,"[259, 293, 359, 355]"
2025-05-16 22:23:04,51F-97022,0.41598379611968994,"[262, 323, 359, 357]"
2025-05-16 22:23:25,517-970-22,0.6616264581680298,"[267, 301, 363, 357]"
2025-05-16 22:23:35,51F-97022,0.39417564868927,"[262, 316, 357, 357]"
2025-05-16 22:26:07,79-18 2.94-35,0.7785619497299194,"[306, 292, 387, 353]"
2025-05-16 22:26:37,T12-81 16-8.88,0.8714542388916016,"[252, 269, 367, 360]"
2025-05-16 22:26:42,7.88,0.8603905439376831,"[273, 295, 380, 367]"
2025-05-16 22:26:47,7.88,0.8898835182189941,"[252, 286, 363, 365]"
2025-05-16 22:26:53,7.68,0.8651615381240845,"[274, 271, 384, 346]"
2025-05-16 22:26:58,7688,0.9070220589637756,"[274, 275, 380, 351]"
2025-05-16 22:27:03,7688,0.867592990398407,"[266, 285, 373, 364]"
2025-05-16 22:27:19,12-81 16-8.88,0.8388060331344604,"[259, 283, 369, 369]"
2025-05-16 22:31:08,1517-97022,0.4552439749240875,"[198, 334, 306, 363]"
2025-05-16 22:31:41,51F-970.22,0.5645673274993896,"[200, 335, 309, 370]"
2025-05-16 22:32:17,5R902,0.32040220499038696,"[197, 299, 309, 359]"
2025-05-16 22:33:09,CA5H 51-F97022,0.4380236864089966,"[200, 277, 304, 358]"
2025-05-16 22:40:17,51F-970.22,0.379136860370636,"[392, 287, 524, 331]"
2025-05-16 22:40:52,51F-970.22,0.31889262795448303,"[283, 195, 433, 235]"
2025-05-16 22:41:01,151F-97022,0.27067074179649353,"[280, 192, 453, 235]"
2025-05-16 22:42:37,517-970.22,0.8718054294586182,"[333, 358, 487, 399]"
2025-05-16 22:42:43,K1-0.97NX,0.6989246010780334,"[406, 448, 586, 479]"
2025-05-16 22:42:49,51F-970.22,0.8982624411582947,"[336, 390, 513, 433]"
2025-05-16 22:42:57,51F-970.22,0.8956637978553772,"[331, 394, 511, 440]"
2025-05-16 22:43:03,51-F970.22,0.8310977816581726,"[315, 326, 467, 365]"
2025-05-17 10:52:34,51-F155.85,0.9273681640625,"[137, 99, 239, 135]"
2025-05-17 10:52:55,57-R2403,0.9196168780326843,"[110, 139, 213, 170]"
2025-05-17 10:53:15,51-F155.85,0.9273681640625,"[137, 99, 239, 135]"
2025-05-17 11:00:31,516-07973,0.9157307147979736,"[254, 256, 336, 279]"
2025-05-17 11:01:16,48A-02866,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-17 11:01:43,0.50,0.9204613566398621,"[261, 331, 329, 368]"
2025-05-17 11:02:13,51-633.07,0.9271979928016663,"[147, 143, 250, 179]"
2025-05-17 11:02:55,51-R3 2161,0.9404155015945435,"[152, 140, 236, 213]"
2025-05-17 11:03:35,159-02 99-7.64,0.9449986219406128,"[0, 411, 94, 495]"
2025-05-17 11:03:35,66-K17 27-4.10,0.9400203227996826,"[314, 419, 448, 524]"
2025-05-17 11:04:49,63.23,0.9309937357902527,"[124, 182, 259, 253]"
2025-05-17 11:05:11,54-15 6409,0.9387556910514832,"[166, 143, 250, 217]"
2025-05-17 11:05:42,01-A01204,0.9199538826942444,"[170, 230, 245, 251]"
2025-05-17 11:05:56,5M-R03084,0.9176133871078491,"[139, 113, 241, 143]"
2025-05-17 11:06:15,52-04 0050,0.942059338092804,"[131, 69, 210, 138]"
2025-05-17 11:06:47,5M-R03084,0.9176133871078491,"[139, 113, 241, 143]"
2025-05-17 11:07:07,59-57 63-4.97,0.9388868808746338,"[129, 56, 204, 124]"
2025-05-17 11:07:44,30-F658.47,0.8935102224349976,"[109, 100, 303, 140]"
2025-05-17 11:08:31,51-6376775,0.9212493300437927,"[112, 176, 222, 209]"
2025-05-17 11:08:47,59-07 06-9.73,0.9388132691383362,"[166, 66, 247, 141]"
2025-05-17 12:43:26,48A-028.66,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-17 12:43:44,51F-161.59,0.9187487363815308,"[192, 229, 296, 261]"
2025-05-17 12:44:02,51A-961.41,0.9292013645172119,"[116, 134, 220, 168]"
2025-05-17 12:44:20,9Z-H1 421.07,0.9306366443634033,"[142, 147, 228, 224]"
2025-05-17 12:45:37,0.99,0.9210376143455505,"[116, 387, 183, 434]"
2025-05-17 12:45:57,51G-102.09,0.9198282361030579,"[186, 220, 286, 250]"
2025-05-17 12:46:13,($6.73,0.9289661645889282,"[77, 396, 150, 442]"
2025-05-17 12:46:28,51A-012.04,0.9199538826942444,"[170, 230, 245, 251]"
2025-05-17 12:47:40,47A-065.46,0.9209758639335632,"[97, 121, 202, 153]"
2025-05-17 12:48:15,51F-161.59,0.9187487363815308,"[192, 229, 296, 261]"
2025-05-17 12:48:32,150.89,0.932661235332489,"[174, 410, 254, 467]"
2025-05-17 13:47:45,48A-028.66,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-17 13:48:30,51G-513.32,0.927593469619751,"[151, 128, 256, 167]"
2025-05-17 13:49:02,51A-909.05,0.9208440184593201,"[121, 193, 222, 226]"
2025-05-17 13:49:37,51F-574.93,0.9268863797187805,"[96, 129, 202, 161]"
2025-05-17 13:50:17,30V-3993,0.9269373416900635,"[144, 93, 258, 135]"
2025-05-17 13:50:45,51F-075.68,0.9083881974220276,"[177, 204, 267, 229]"
2025-05-17 13:51:35,0.99,0.9210376143455505,"[116, 387, 183, 434]"
2025-05-17 13:52:10,(65957),0.9213029742240906,"[302, 274, 413, 334]"
2025-05-17 13:53:17,51A-80985,0.9125051498413086,"[93, 267, 177, 293]"
2025-05-17 13:54:00,1595,0.920134961605072,"[185, 403, 252, 443]"
2025-05-17 13:54:47,498.81,0.944428026676178,"[113, 282, 277, 409]"
2025-05-17 13:55:52,58151,0.9439164400100708,"[165, 142, 243, 210]"
2025-05-17 13:56:25,175.53,0.9419739842414856,"[146, 147, 229, 222]"
2025-05-17 13:56:56,869.47,0.9430733323097229,"[167, 163, 375, 294]"
2025-05-17 13:58:11,88LD-007.57,0.8920834064483643,"[138, 201, 333, 243]"
2025-05-17 13:58:53,30A-604.34),0.9190750122070312,"[68, 218, 285, 281]"
2025-05-17 13:59:27,30F-880.13,0.9179949164390564,"[131, 241, 267, 273]"
2025-05-17 13:59:47,91.37,0.9374359250068665,"[154, 128, 244, 214]"
2025-05-17 14:00:42,981351,0.9316220283508301,"[187, 143, 260, 226]"
2025-05-17 14:01:09,279.95,0.933087944984436,"[136, 119, 234, 215]"
2025-05-17 14:30:52,47A-065.46,0.9209758639335632,"[97, 121, 202, 153]"
2025-05-17 14:31:15,51A-897.14,0.9256414175033569,"[139, 100, 240, 137]"
2025-05-17 14:31:28,159-E1 295.65,0.9389047622680664,"[165, 152, 243, 218]"
2025-05-17 14:31:49,78-E1 241.13,0.9425060153007507,"[152, 93, 233, 163]"
2025-05-17 15:12:19,59-F1 545.73,0.941497266292572,"[141, 96, 216, 160]"
2025-05-17 15:13:55,166.96,0.9272902607917786,"[185, 376, 259, 422]"
2025-05-17 15:13:55,989.24,0.9123090505599976,"[118, 152, 185, 186]"
2025-05-17 15:25:12,05:21,0.9323422908782959,"[215, 313, 288, 367]"
2025-05-17 15:25:12,88822,0.9242755174636841,"[1, 203, 66, 246]"
2025-05-17 15:38:30,51F-869.88,0.9171381592750549,"[204, 194, 297, 219]"
2025-05-17 15:38:44,59-P2 207.70,0.9410277009010315,"[128, 151, 207, 218]"
2025-05-17 15:39:05,05:21,0.9323422908782959,"[215, 313, 288, 367]"
2025-05-17 15:39:05,88822,0.9242755174636841,"[1, 203, 66, 246]"
2025-05-17 15:39:35,259.00,0.9258676171302795,"[131, 428, 195, 469]"
2025-05-17 15:40:03,68-C1 375.20,0.9302637577056885,"[156, 61, 259, 141]"
2025-05-17 15:42:03,7 N/,0.31548890471458435,"[0, 164, 125, 480]"
2025-05-17 15:42:09,7 ML,0.26022133231163025,"[0, 162, 126, 476]"
2025-05-17 15:42:20,7 N/,0.29342204332351685,"[0, 160, 127, 479]"
2025-05-17 15:42:51,230.76,0.918076753616333,"[374, 323, 428, 359]"
2025-05-17 15:42:51,584.69,0.9180679321289062,"[0, 261, 75, 298]"
2025-05-17 15:44:18,51A-012.04,0.9169387817382812,"[208, 151, 297, 179]"
2025-05-18 01:31:55,51F-574.93,0.9268863797187805,"[96, 129, 202, 161]"
2025-05-18 01:32:26,0.99,0.9210376143455505,"[116, 387, 183, 434]"
2025-05-18 01:38:21,0.99,0.9210376143455505,"[116, 387, 183, 434]"
2025-05-18 01:38:41,30F-659.00,0.9206163883209229,"[34, 57, 237, 99]"
2025-05-18 01:41:36,59-B1 498.76,0.944428026676178,"[113, 282, 277, 409]"
2025-05-18 01:41:49,0.99,0.9210376143455505,"[116, 387, 183, 434]"
2025-05-19 17:48:56,99:67,0.5648900270462036,"[438, 283, 567, 368]"
2025-05-19 17:49:14,99:67,0.376069575548172,"[406, 338, 515, 408]"
2025-05-19 17:49:27,99:57,0.9114260673522949,"[395, 396, 511, 479]"
2025-05-19 17:49:35,99:57,0.3708718419075012,"[412, 271, 505, 337]"
2025-05-19 17:49:38,99:67,0.6339036822319031,"[403, 274, 500, 342]"
2025-05-19 17:49:47,100.02 .7060,0.6968937516212463,"[390, 265, 493, 359]"
2025-05-19 17:49:54,51F-970.22,0.507097601890564,"[453, 276, 547, 308]"
2025-05-19 17:50:44,91991,0.5788112282752991,"[429, 291, 510, 334]"
2025-05-19 17:50:48,95991,0.4886479675769806,"[409, 305, 492, 350]"
2025-05-19 17:50:51,91991,0.5395218133926392,"[408, 304, 496, 350]"
2025-05-19 17:50:55,9.59%,0.5447425246238708,"[414, 301, 497, 346]"
2025-05-19 17:51:05,49394,0.8885341286659241,"[376, 260, 432, 291]"
2025-05-19 17:51:11,49394,0.887035071849823,"[415, 292, 477, 327]"
2025-05-19 17:51:17,49394,0.8061519861221313,"[454, 275, 511, 315]"
2025-05-19 17:51:48,51F-574.93,0.9268863797187805,"[96, 129, 202, 161]"
2025-05-19 18:07:53,59-F1 381.51,0.9439164400100708,"[165, 142, 243, 210]"
2025-05-19 18:08:07,30A-604.34),0.9190750122070312,"[68, 218, 285, 281]"
2025-05-19 18:19:25,59-F1 381.51,0.9439164400100708,"[165, 142, 243, 210]"
2025-05-19 18:19:43,59-B1 498.76,0.944428026676178,"[113, 282, 277, 409]"
2025-05-19 18:20:46,999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 18:20:46,559.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 18:27:28,999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 18:27:28,559.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 19:00:16,999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 19:00:16,559.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 19:10:59,999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 19:10:59,559.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 19:12:42,48A-028.66,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-19 19:19:19,51F-574.93,0.9268863797187805,"[96, 129, 202, 161]"
2025-05-19 19:19:46,98131,0.9316220283508301,"[187, 143, 260, 226]"
2025-05-19 19:19:59,55957,0.9213029742240906,"[302, 274, 413, 334]"
2025-05-19 19:20:15,58151,0.9439164400100708,"[165, 142, 243, 210]"
2025-05-19 20:46:19,SIA 80985,0.9125051498413086,"[93, 267, 177, 293]"
2025-05-19 20:58:13,48A-028.66,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-19 20:58:34,999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 20:58:34,559.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 21:03:59,999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 21:03:59,559.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 21:17:52,37A 999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 21:17:52,559.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 21:18:20,59-F1 381.51,0.9439164400100708,"[165, 142, 243, 210]"
2025-05-19 21:24:05,37A 999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 21:24:05,29H 555.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 21:24:30,5050 (032.87),0.9213029742240906,"[302, 274, 413, 334]"
2025-05-19 21:24:49,50-X1 089.94,0.9210376143455505,"[116, 387, 183, 434]"
2025-05-19 21:25:39,DISCOUNT 51G-513.32,0.927593469619751,"[151, 128, 256, 167]"
2025-05-19 21:26:43,GST SUMMARY 48A-028.66,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-19 21:42:50,37A 999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 21:42:50,29H 555.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 21:43:05,GST SUMMARY 48A-028.66,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-19 21:43:25,88LD-007.57,0.8920834064483643,"[138, 201, 333, 243]"
2025-05-19 21:45:42,51F-574.93,0.9268863797187805,"[96, 129, 202, 161]"
2025-05-19 21:47:07,GST SUMMARY 48A-028.66,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-19 21:49:21,PAU.0003 (30V-3950),0.9269373416900635,"[144, 93, 258, 135]"
2025-05-19 22:01:36,GST SUMMARY 48A-028.66,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-19 22:01:56,50-X1 089.94,0.9210376143455505,"[116, 387, 183, 434]"
2025-05-19 22:02:17,30F-880.13,0.9179949164390564,"[131, 241, 267, 273]"
2025-05-19 22:11:04,48A-028.66,0.9240370392799377,"[103, 77, 203, 112]"
2025-05-19 22:11:23,37A 999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-19 22:11:23,29H 555.55,0.8768923282623291,"[272, 891, 445, 974]"
2025-05-19 22:11:37,50-X1 089.94,0.9210376143455505,"[116, 387, 183, 434]"
2025-05-19 22:11:49,51F-075.68,0.9083881974220276,"[177, 204, 267, 229]"
2025-05-19 22:12:06,5050 (032.87),0.9213029742240906,"[302, 274, 413, 334]"
2025-05-19 22:12:44,30E 981.31,0.9316220283508301,"[187, 143, 260, 226]"
2025-05-20 23:44:44,50E 012.96,0.9401066303253174,"[324, 202, 410, 247]"
2025-05-20 23:45:20,59-C1 622.93,0.9436518549919128,"[243, 95, 329, 174]"
2025-05-20 23:45:34,59-C1 622.93,0.9436518549919128,"[243, 95, 329, 174]"
2025-05-20 23:46:21,77-G1 (501.50,0.9174351692199707,"[2, 413, 74, 454]"
2025-05-20 23:46:21,(59-X4) 034.84,0.9123277068138123,"[335, 313, 388, 347]"
2025-05-21 00:06:33,37A 999.99,0.9030581116676331,"[1665, 865, 1836, 953]"
2025-05-21 00:06:33,29H 555.55,0.8768923282623291,"[272, 891, 445, 974]"
